Node	DegreeCentrality	Betweenness	Cluster
g__Acetatifactor	0.015384615384615385	0.0	c2
g__Ruminococcus_B	0.23076923076923078	0.3543269230769231	c2
g__Acutalibacter	0.046153846153846156	0.0009615384615384616	c2
g__Allocoprobacillus	0.03076923076923077	0.0	c2
g__Anaeromassilibacillus	0.03076923076923077	0.0	c2
g__Negativibacillus	0.015384615384615385	0.0	c2
g__Agathobacter	0.09230769230769231	0.04471153846153846	c2
g__Anaerobutyricum	0.09230769230769231	0.2120192307692308	c2
g__Anthropogastromicrobium	0.13846153846153847	0.1903846153846154	c2
g__Brotaphodocola	0.03076923076923077	0.009134615384615385	c2
g__Fusicatenibacter	0.06153846153846154	0.0045673076923076926	c2
g__Thomasclavelia	0.27692307692307694	0.40913461538461543	c2
g__Agathobaculum	0.015384615384615385	0.0	c2
g__Alistipes	0.1076923076923077	0.2266826923076923	c2
g__Dysosmobacter	0.046153846153846156	0.0	c2
g__Granulicatella	0.046153846153846156	0.0	c2
g__Hominilimicola	0.03076923076923077	0.007932692307692307	c2
g__Lawsonibacter	0.06153846153846154	0.034375	c2
g__Nanosynbacter	0.046153846153846156	0.0	c2
g__Streptococcus	0.1076923076923077	0.10120192307692308	c2
g__Veillonella	0.16923076923076924	0.25793269230769234	c2
g__Eubacterium_G	0.046153846153846156	0.0038461538461538464	c2
g__Faecalimonas	0.13846153846153847	0.2956730769230769	c2
g__Hominicoprocola	0.046153846153846156	0.0	c2
g__Limivivens	0.07692307692307693	0.14471153846153847	c2
g__Roseburia	0.03076923076923077	0.0	c2
g__Bacteroides	0.015384615384615385	0.0	c2
g__Enterocloster	0.09230769230769231	0.04182692307692308	c2
g__Bariatricus	0.046153846153846156	0.0	c2
g__Gemmiger	0.1076923076923077	0.09903846153846155	c2
g__Odoribacter	0.06153846153846154	0.0	c2
g__Bittarella	0.015384615384615385	0.0	c2
g__Clostridium_AP	0.015384615384615385	0.0	c2
g__Blautia	0.03076923076923077	0.0	c2
g__Coprococcus_A	0.046153846153846156	0.0004807692307692308	c2
g__Clostridium	0.046153846153846156	0.0009615384615384616	c2
g__Intestinibacter	0.015384615384615385	0.0	c2
g__Terrisporobacter	0.03076923076923077	0.0	c2
g__Turicibacter	0.03076923076923077	0.0	c2
g__Dorea	0.1076923076923077	0.29375	c2
g__Dialister	0.015384615384615385	0.0	c2
g__Phascolarctobacterium	0.015384615384615385	0.0	c2
g__Dorea_A	0.1076923076923077	0.3401442307692308	c2
g__Eubacterium_I	0.06153846153846154	0.0	c2
g__Sellimonas	0.046153846153846156	0.2939903846153846	c2
g__Hominiventricola	0.03076923076923077	0.01682692307692308	c2
g__Enterobacter	0.015384615384615385	0.0	c2
g__Klebsiella	0.03076923076923077	0.021153846153846155	c2
g__Faecalibacterium	0.07692307692307693	0.20889423076923078	c2
g__Enterococcus_B	0.015384615384615385	0.0	c2
g__Mediterraneibacter	0.015384615384615385	0.0	c2
g__Evtepia	0.015384615384615385	0.0	c2
g__Vescimonas	0.015384615384615385	0.0	c2
g__Fusobacterium_A	0.015384615384615385	0.0	c2
g__Flavonifractor	0.06153846153846154	0.010817307692307692	c2
g__Hungatella	0.046153846153846156	0.0	c2
g__Ruthenibacterium	0.046153846153846156	0.020673076923076926	c2
g__Gemella	0.015384615384615385	0.0	c2
g__Haemophilus_D	0.03076923076923077	0.0	c2
g__Lancefieldella	0.015384615384615385	0.0	c2
g__Parabacteroides	0.015384615384615385	0.0	c2
g__Leuconostoc	0.015384615384615385	0.0	c2
g__Weissella	0.015384615384615385	0.0	c2
g__Megamonas	0.015384615384615385	0.0	c2
g__URXU01	0.015384615384615385	0.0	c2
g__Rothia	0.015384615384615385	0.0	c2
