Node	Betweenness
g__Thomasclavelia	851.0
g__Ruminococcus_B	737.0
g__Dorea_A	707.5
g__Faecalimonas	615.0
g__Sellimonas	611.5
g__Dorea	611.0
g__Veillonella	536.5
g__Alistipes	471.5
g__Anaerobutyricum	441.0
g__Faecalibacterium	434.5
g__Anthropogastromicrobium	396.0
g__Limivivens	301.0
g__Streptococcus	210.5
g__Gemmiger	206.0
g__Agathobacter	93.0
g__Enterocloster	87.0
g__Lawsonibacter	71.5
g__Klebsiella	44.0
g__Ruthenibacterium	43.0
g__Hominiventricola	35.0
g__Flavonifractor	22.5
g__Brotaphodocola	19.0
g__Hominilimicola	16.5
g__Fusicatenibacter	9.5
g__Eubacterium_G	8.0
g__Acutalibacter	2.0
g__Clostridium	2.0
g__Coprococcus_A	1.0
g__Acetatifactor	0.0
g__Granulicatella	0.0
g__Allocoprobacillus	0.0
g__Negativibacillus	0.0
g__Dysosmobacter	0.0
g__Anaeromassilibacillus	0.0
g__Blautia	0.0
g__Clostridium_AP	0.0
g__Bittarella	0.0
g__Odoribacter	0.0
g__Bariatricus	0.0
g__Bacteroides	0.0
g__Hominicoprocola	0.0
g__Roseburia	0.0
g__Nanosynbacter	0.0
g__Agathobaculum	0.0
g__Phascolarctobacterium	0.0
g__Dialister	0.0
g__Intestinibacter	0.0
g__Eubacterium_I	0.0
g__Turicibacter	0.0
g__Terrisporobacter	0.0
g__Enterococcus_B	0.0
g__Enterobacter	0.0
g__Mediterraneibacter	0.0
g__Evtepia	0.0
g__Fusobacterium_A	0.0
g__Vescimonas	0.0
g__Hungatella	0.0
g__Gemella	0.0
g__Haemophilus_D	0.0
g__Lancefieldella	0.0
g__Parabacteroides	0.0
g__Leuconostoc	0.0
g__Weissella	0.0
g__Megamonas	0.0
g__URXU01	0.0
g__Rothia	0.0
