Node	DegreeCentrality	Betweenness	Cluster
g__Acetatifactor	0.015384615384615385	0.0	c2
g__Ruminococcus_B	0.23076923076923078	737.0	c2
g__Acutalibacter	0.046153846153846156	2.0	c2
g__Allocoprobacillus	0.03076923076923077	0.0	c2
g__Anaeromassilibacillus	0.03076923076923077	0.0	c2
g__Negativibacillus	0.015384615384615385	0.0	c2
g__Agathobacter	0.09230769230769231	93.0	c2
g__Anaerobutyricum	0.09230769230769231	441.0	c2
g__Anthropogastromicrobium	0.13846153846153847	396.0	c2
g__Brotaphodocola	0.03076923076923077	19.0	c2
g__Fusicatenibacter	0.06153846153846154	9.5	c2
g__Thomasclavelia	0.27692307692307694	851.0	c2
g__Agathobaculum	0.015384615384615385	0.0	c2
g__Alistipes	0.1076923076923077	471.5	c2
g__Dysosmobacter	0.046153846153846156	0.0	c2
g__Granulicatella	0.046153846153846156	0.0	c2
g__Hominilimicola	0.03076923076923077	16.5	c2
g__Lawsonibacter	0.06153846153846154	71.5	c2
g__Nanosynbacter	0.046153846153846156	0.0	c2
g__Streptococcus	0.1076923076923077	210.5	c2
g__Veillonella	0.16923076923076924	536.5	c2
g__Eubacterium_G	0.046153846153846156	8.0	c2
g__Faecalimonas	0.13846153846153847	615.0	c2
g__Hominicoprocola	0.046153846153846156	0.0	c2
g__Limivivens	0.07692307692307693	301.0	c2
g__Roseburia	0.03076923076923077	0.0	c2
g__Bacteroides	0.015384615384615385	0.0	c2
g__Enterocloster	0.09230769230769231	87.0	c2
g__Bariatricus	0.046153846153846156	0.0	c2
g__Gemmiger	0.1076923076923077	206.0	c2
g__Odoribacter	0.06153846153846154	0.0	c2
g__Bittarella	0.015384615384615385	0.0	c2
g__Clostridium_AP	0.015384615384615385	0.0	c2
g__Blautia	0.03076923076923077	0.0	c2
g__Coprococcus_A	0.046153846153846156	1.0	c2
g__Clostridium	0.046153846153846156	2.0	c2
g__Intestinibacter	0.015384615384615385	0.0	c2
g__Terrisporobacter	0.03076923076923077	0.0	c2
g__Turicibacter	0.03076923076923077	0.0	c2
g__Dorea	0.1076923076923077	611.0	c2
g__Dialister	0.015384615384615385	0.0	c2
g__Phascolarctobacterium	0.015384615384615385	0.0	c2
g__Dorea_A	0.1076923076923077	707.5	c2
g__Eubacterium_I	0.06153846153846154	0.0	c2
g__Sellimonas	0.046153846153846156	611.5	c2
g__Hominiventricola	0.03076923076923077	35.0	c2
g__Enterobacter	0.015384615384615385	0.0	c2
g__Klebsiella	0.03076923076923077	44.0	c2
g__Faecalibacterium	0.07692307692307693	434.5	c2
g__Enterococcus_B	0.015384615384615385	0.0	c2
g__Mediterraneibacter	0.015384615384615385	0.0	c2
g__Evtepia	0.015384615384615385	0.0	c2
g__Vescimonas	0.015384615384615385	0.0	c2
g__Fusobacterium_A	0.015384615384615385	0.0	c2
g__Flavonifractor	0.06153846153846154	22.5	c2
g__Hungatella	0.046153846153846156	0.0	c2
g__Ruthenibacterium	0.046153846153846156	43.0	c2
g__Gemella	0.015384615384615385	0.0	c2
g__Haemophilus_D	0.03076923076923077	0.0	c2
g__Lancefieldella	0.015384615384615385	0.0	c2
g__Parabacteroides	0.015384615384615385	0.0	c2
g__Leuconostoc	0.015384615384615385	0.0	c2
g__Weissella	0.015384615384615385	0.0	c2
g__Megamonas	0.015384615384615385	0.0	c2
g__URXU01	0.015384615384615385	0.0	c2
g__Rothia	0.015384615384615385	0.0	c2
